"Time [s]"	"[B*] 0.25 Hz dc 0.37"	"[B*] 0.33 Hz dc 0.5"	"[B*] 0.4 Hz dc 0.6"	"[B*] 0.5 Hz dc 0.75"
0	0	0	0	0
9	2.53e-033	2.59e-033	7.64e-033	1.19e-032
18	2.58e-033	5.21e-033	2e-032	2.35e-032
27	2.63e-033	7.91e-033	3.54e-032	3.75e-032
36	2.67e-033	1.84e-032	5.54e-032	5.63e-032
45	2.72e-033	2.49e-032	7.72e-032	7.79e-032
54	2.77e-033	3.13e-032	1.06e-031	1.12e-031
63.1	2.82e-033	4.48e-032	1.42e-031	1.58e-031
72.1	2.87e-033	7.06e-032	2.04e-031	2.24e-031
81.1	2.91e-033	8.87e-032	2.95e-031	3.1e-031
90.1	2.96e-033	9.92e-032	4.35e-031	4.48e-031
99.1	3.01e-033	1.29e-031	6.08e-031	6.89e-031
108	3.05e-033	1.63e-031	8.11e-031	1.06e-030
117	3.1e-033	1.97e-031	1.27e-030	1.61e-030
126	3.15e-033	2.68e-031	2.01e-030	2.42e-030
135	3.19e-033	3.75e-031	3.58e-030	4.28e-030
144	3.24e-033	4.1e-031	6.25e-030	7.7e-030
153	3.28e-033	4.08e-031	1.03e-029	1.27e-029
162	3.33e-033	5.45e-031	1.59e-029	2.12e-029
171	3.37e-033	8.84e-031	2.52e-029	4.04e-029
180	8.97e-033	1.44e-030	3.96e-029	7.76e-029
189	1.42e-032	1.92e-030	6.89e-029	1.47e-028
198	1.48e-032	2.39e-030	1.25e-028	2.81e-028
207	2.1e-032	3.98e-030	2.62e-028	5.39e-028
216	2.15e-032	5.72e-030	5.06e-028	9.48e-028
225	3.1e-032	8.28e-030	9.5e-028	1.77e-027
234	4.62e-032	1.33e-029	1.77e-027	3.25e-027
243	5.49e-032	1.52e-029	2.77e-027	6.89e-027
252	7.42e-032	1.85e-029	4.74e-027	1.44e-026
261	7.87e-032	2.76e-029	8.27e-027	2.84e-026
270	8.61e-032	4.69e-029	1.5e-026	5.36e-026
279	9.47e-032	6.52e-029	2.62e-026	1.06e-025
288	1.04e-031	7.98e-029	5.3e-026	2.11e-025
297	1.15e-031	1.21e-028	9.7e-026	4.48e-025
306	1.67e-031	1.96e-028	1.48e-025	9.25e-025
315	1.66e-031	2.23e-028	2.51e-025	1.9e-024
324	2.1e-031	4.09e-028	4.56e-025	3.89e-024
333	2.27e-031	6.6e-028	7.94e-025	7.99e-024
342	2.26e-031	9.44e-028	1.78e-024	1.65e-023
351	2.25e-031	1.06e-027	3.52e-024	3.43e-023
360	2.24e-031	1.67e-027	6.66e-024	7.22e-023
369	2.23e-031	2.54e-027	1.02e-023	1.51e-022
378	2.22e-031	4.66e-027	1.79e-023	3.19e-022
387	2.21e-031	5.81e-027	3.07e-023	6.73e-022
396	2.2e-031	8.73e-027	5.01e-023	1.43e-021
405	2.86e-031	1.28e-026	1.02e-022	3.02e-021
414	4.34e-031	1.69e-026	1.68e-022	6.27e-021
423	4.32e-031	2.55e-026	3.31e-022	1.35e-020
432	5.2e-031	4.84e-026	5.49e-022	2.9e-020
441	7.17e-031	7.02e-026	9.47e-022	6.23e-020
450	9.4e-031	9.86e-026	1.54e-021	1.33e-019
459	1.19e-030	1.41e-025	3.22e-021	2.73e-019
468	1.37e-030	2.26e-025	5.34e-021	5.48e-019
477	1.64e-030	2.86e-025	9.72e-021	1.1e-018
486	1.83e-030	2.85e-025	1.63e-020	2.39e-018
495	1.82e-030	4.98e-025	2.6e-020	5.3e-018
504	2.41e-030	4.95e-025	4.4e-020	1.05e-017
514	3.21e-030	1.19e-024	7.52e-020	2.17e-017
523	3.54e-030	1.95e-024	1.22e-019	4.34e-017
532	3.53e-030	3.12e-024	2.18e-019	9.02e-017
541	3.7e-030	3.99e-024	3.46e-019	1.88e-016
550	4.02e-030	5.02e-024	7.42e-019	3.71e-016
559	4e-030	7.59e-024	1.34e-018	8.03e-016
568	6.65e-030	9.09e-024	2.18e-018	1.68e-015
577	8.28e-030	1.2e-023	3.49e-018	3.45e-015
586	8.24e-030	1.42e-023	5.41e-018	7.07e-015
595	8.2e-030	2.38e-023	8.82e-018	1.46e-014
604	1.08e-029	4.18e-023	1.61e-017	2.99e-014
613	1.07e-029	6.68e-023	3e-017	6.13e-014
622	1.07e-029	1.09e-022	5.46e-017	1.23e-013
631	1.06e-029	1.72e-022	8.17e-017	2.57e-013
640	1.27e-029	2.68e-022	1.29e-016	5.35e-013
649	1.85e-029	3.5e-022	2.15e-016	1.11e-012
658	2.26e-029	5.15e-022	3.62e-016	2.18e-012
667	2.56e-029	8.58e-022	5.43e-016	4.56e-012
676	3.26e-029	1.37e-021	9.07e-016	9.64e-012
685	4.06e-029	1.86e-021	1.51e-015	2.01e-011
694	4.04e-029	2.63e-021	2.96e-015	4.2e-011
703	4.02e-029	3.38e-021	5.32e-015	8.7e-011
712	4e-029	3.37e-021	8.25e-015	1.81e-010
721	4.34e-029	5.98e-021	1.26e-014	3.75e-010
730	5.65e-029	8.51e-021	1.99e-014	7.79e-010
739	7.77e-029	1.91e-020	3.28e-014	1.62e-009
748	7.73e-029	2.45e-020	5.1e-014	3.35e-009
757	1.05e-028	2.44e-020	8.49e-014	6.99e-009
766	1.24e-028	3.04e-020	1.35e-013	1.46e-008
775	1.23e-028	5.55e-020	2.27e-013	3.08e-008
784	1.87e-028	1.06e-019	3.93e-013	6.35e-008
793	2.37e-028	1.52e-019	5.88e-013	1.33e-007
802	2.47e-028	2.82e-019	9.65e-013	2.76e-007
811	2.45e-028	4.51e-019	1.87e-012	5.64e-007
820	2.44e-028	5.11e-019	3.35e-012	0.00000117
829	2.43e-028	9.37e-019	5.83e-012	0.0000024
838	2.42e-028	1.26e-018	1.01e-011	0.00000496
847	3.37e-028	1.44e-018	1.55e-011	0.0000102
856	4.42e-028	2.14e-018	2.08e-011	0.0000187
865	5.36e-028	2.17e-018	3.32e-011	0.0000354
874	7.07e-028	4.52e-018	5.74e-011	0.0000753
883	7.83e-028	6.55e-018	9.72e-011	0.000151
892	8.78e-028	1.05e-017	1.61e-010	0.000306
901	1.06e-027	1.74e-017	2.62e-010	0.000583
910	1.36e-027	1.8e-017	4.15e-010	0.00121
919	1.5e-027	2.08e-017	6.36e-010	0.00248
928	1.5e-027	2.73e-017	1.03e-009	0.00497
937	1.49e-027	3.56e-017	1.54e-009	0.00985
946	1.48e-027	4.65e-017	2.99e-009	0.0194
955	1.48e-027	8.83e-017	5.69e-009	0.0383
964	1.47e-027	1.42e-016	1e-008	0.0756
973	1.99e-027	1.98e-016	1.54e-008	0.149
982	2.83e-027	3.05e-016	2.27e-008	0.268
991	3.62e-027	4.84e-016	3.11e-008	0.547
1000	4.52e-027	4.81e-016	5.67e-008	1.08
1010	4.5e-027	6.18e-016	1.08e-007	1.94
1020	5.1e-027	1.04e-015	1.94e-007	3.24
1030	6.45e-027	1.6e-015	3.11e-007	5.21
1040	7.17e-027	2.19e-015	4.95e-007	6.97
1050	8.7e-027	3.59e-015	7.2e-007	8.66
1050	9.98e-027	4.39e-015	0.00000132	9.95
1060	1.12e-026	6.13e-015	0.00000214	10.9
1070	1.25e-026	1.09e-014	0.0000033	11.4
1080	1.39e-026	1.62e-014	0.0000053	11.7
1090	1.38e-026	2.27e-014	0.00000819	12.1
1100	1.79e-026	3.36e-014	0.0000139	12.3
1110	2.02e-026	4.83e-014	0.0000229	12.4
1120	2.52e-026	6.73e-014	0.0000379	12.5
1130	2.83e-026	9.59e-014	0.0000735	12.6
1140	3.53e-026	1.39e-013	0.000117	12.7
1140	3.91e-026	2.02e-013	0.000192	12.8
1150	3.89e-026	2.96e-013	0.000338	12.8
1160	4.41e-026	5.27e-013	0.000603	12.9
1170	4.39e-026	7.88e-013	0.00105	12.9
1180	4.37e-026	1.09e-012	0.00184	13
1190	4.98e-026	1.83e-012	0.00272	13
1200	6.82e-026	1.85e-012	0.00409	13.1
1210	7.7e-026	2.81e-012	0.00644	13.1
1220	8.68e-026	3.87e-012	0.0116	13.1
