"Time [s]"	"[B*] 0.15Hz dc0.2"	"[B*] 0.15Hz dc0.40"	"[B*] 0.15Hz dc0.45"	"[B*] 0.15Hz dc0.5"
0	0	0	0	0
9	4.53e-033	8.49e-033	9.05e-033	9.62e-033
18	6.86e-033	1.38e-032	1.86e-032	1.13e-032
27	9.86e-033	1.94e-032	2.86e-032	1.75e-032
36	1.17e-032	2.95e-032	4.02e-032	2.31e-032
45	1.17e-032	3.56e-032	5.41e-032	2.44e-032
54	1.17e-032	4.23e-032	6.98e-032	3.4e-032
63.1	1.17e-032	4.21e-032	9e-032	4.07e-032
72.1	1.17e-032	4.2e-032	1.17e-031	5.09e-032
81.1	1.47e-032	4.19e-032	1.42e-031	6.64e-032
90.1	1.78e-032	4.18e-032	1.41e-031	8.99e-032
99.1	2.11e-032	4.16e-032	1.41e-031	1.07e-031
108	2.8e-032	6.24e-032	2e-031	1.36e-031
117	2.8e-032	8.45e-032	2.93e-031	1.78e-031
126	3.19e-032	8.42e-032	4.18e-031	2.11e-031
135	4.04e-032	9.77e-032	5e-031	2.77e-031
144	4.49e-032	1.27e-031	4.98e-031	3.62e-031
153	4.48e-032	1.52e-031	4.96e-031	4.37e-031
162	5.57e-032	2.05e-031	8.36e-031	4.35e-031
171	6.16e-032	2.47e-031	1.17e-030	6.27e-031
180	6.14e-032	2.91e-031	1.51e-030	9.13e-031
189	6.12e-032	3.9e-031	2.28e-030	1.57e-030
198	6.9e-032	4.58e-031	2.96e-030	2.31e-030
207	6.87e-032	4.74e-031	4.87e-030	3.43e-030
216	6.85e-032	6.55e-031	8.08e-030	4.7e-030
225	6.82e-032	7.79e-031	9.68e-030	5.98e-030
234	6.8e-032	7.76e-031	1.54e-029	8.09e-030
243	6.77e-032	9.77e-031	2.09e-029	1.25e-029
252	6.75e-032	1.21e-030	2.57e-029	1.64e-029
261	7.91e-032	1.64e-030	3.55e-029	2.42e-029
270	9.26e-032	2.2e-030	5.2e-029	3.83e-029
279	1.06e-031	2.19e-030	6.69e-029	5.11e-029
288	1.2e-031	2.18e-030	6.66e-029	7.94e-029
297	1.35e-031	3.27e-030	6.63e-029	9.17e-029
306	1.35e-031	4.92e-030	6.6e-029	9.12e-029
315	1.52e-031	6.82e-030	1.57e-028	9.08e-029
324	1.71e-031	8.59e-030	2.57e-028	1.76e-028
333	1.7e-031	1.03e-029	4.85e-028	2.82e-028
342	2.15e-031	1.47e-029	8.96e-028	5.32e-028
351	2.38e-031	1.82e-029	1.14e-027	7.98e-028
360	2.37e-031	2.26e-029	1.44e-027	1.1e-027
369	2.66e-031	3.26e-029	2.16e-027	2.17e-027
378	2.96e-031	4.95e-029	2.81e-027	2.85e-027
387	3.47e-031	6.15e-029	3.82e-027	4.73e-027
396	3.63e-031	8.45e-029	5.94e-027	6.81e-027
405	3.61e-031	1.03e-028	5.92e-027	8.78e-027
414	3.59e-031	1.37e-028	5.89e-027	1.23e-026
423	3.58e-031	1.55e-028	5.86e-027	1.92e-026
432	3.56e-031	1.54e-028	5.84e-027	3.04e-026
441	3.55e-031	2.47e-028	1.36e-026	5.33e-026
450	3.53e-031	3.63e-028	1.68e-026	9.22e-026
459	4.12e-031	4.66e-028	1.67e-026	1.32e-025
468	4.1e-031	6.98e-028	1.66e-026	1.65e-025
477	4.75e-031	7.48e-028	1.66e-026	2.31e-025
486	5.43e-031	9.83e-028	3.18e-026	2.3e-025
495	6.18e-031	1.27e-027	4.93e-026	3.55e-025
504	6.95e-031	1.69e-027	4.9e-026	5.78e-025
514	7.88e-031	1.72e-027	5.04e-026	8.91e-025
523	9.58e-031	2.97e-027	1.05e-025	1.65e-024
532	1.06e-030	3.87e-027	1.48e-025	2.46e-024
541	1.05e-030	4.9e-027	2.56e-025	3.54e-024
550	1.17e-030	6.39e-027	4.23e-025	5.9e-024
559	1.16e-030	8.15e-027	4.99e-025	9.54e-024
568	1.16e-030	1.03e-026	6.23e-025	1.77e-023
577	1.15e-030	1.02e-026	1.01e-024	2.56e-023
586	1.15e-030	1.02e-026	1.38e-024	3.29e-023
595	1.14e-030	1.01e-026	1.74e-024	3.75e-023
604	1.14e-030	1.01e-026	2.33e-024	6.5e-023
613	1.13e-030	1e-026	3.43e-024	1.08e-022
622	1.13e-030	9.99e-027	4.75e-024	1.07e-022
631	1.12e-030	9.95e-027	6.39e-024	1.07e-022
640	1.12e-030	9.9e-027	7.97e-024	1.77e-022
649	1.11e-030	9.86e-027	7.93e-024	4.38e-022
658	1.11e-030	9.81e-027	1.14e-023	8.27e-022
667	1.1e-030	9.77e-027	1.13e-023	1.16e-021
676	1.1e-030	9.72e-027	1.64e-023	1.44e-021
685	1.09e-030	9.68e-027	2.6e-023	1.44e-021
694	1.09e-030	9.64e-027	3.73e-023	2.19e-021
703	1.08e-030	2.36e-026	4.81e-023	3.86e-021
712	1.08e-030	2.34e-026	4.79e-023	6.86e-021
721	1.07e-030	2.33e-026	4.77e-023	9.33e-021
730	1.07e-030	2.32e-026	4.75e-023	1.14e-020
739	1.07e-030	2.31e-026	4.72e-023	1.9e-020
748	1.06e-030	2.3e-026	4.7e-023	3.61e-020
757	1.06e-030	2.29e-026	4.68e-023	6.18e-020
766	1.05e-030	2.28e-026	4.66e-023	8.91e-020
775	1.05e-030	5.09e-026	4.64e-023	1.1e-019
784	1.04e-030	5.93e-026	4.62e-023	1.55e-019
793	1.04e-030	5.9e-026	4.6e-023	3.04e-019
802	1.28e-030	9.44e-026	4.58e-023	4.46e-019
811	1.28e-030	1.24e-025	4.56e-023	6.45e-019
820	1.27e-030	1.49e-025	4.54e-023	8.5e-019
829	1.26e-030	1.99e-025	4.52e-023	1.38e-018
838	1.51e-030	2.37e-025	1.44e-022	2.06e-018
847	1.76e-030	2.75e-025	2.54e-022	2.84e-018
856	1.76e-030	3.57e-025	4.54e-022	5.99e-018
865	1.75e-030	4.88e-025	5.99e-022	8.24e-018
874	1.74e-030	5.49e-025	7.64e-022	1.14e-017
883	1.73e-030	5.47e-025	1.06e-021	1.86e-017
892	1.73e-030	5.44e-025	1.26e-021	2.59e-017
901	1.72e-030	7.01e-025	1.55e-021	3.8e-017
910	1.71e-030	9.4e-025	2.03e-021	6.29e-017
919	1.7e-030	1.11e-024	2.37e-021	1.05e-016
928	1.97e-030	1.31e-024	2.97e-021	1.86e-016
937	1.98e-030	1.31e-024	3.94e-021	2.76e-016
946	1.97e-030	1.62e-024	5.26e-021	4.95e-016
955	1.97e-030	1.87e-024	6.64e-021	8.48e-016
964	1.96e-030	2.51e-024	8.4e-021	1.18e-015
973	1.95e-030	3.05e-024	9.95e-021	1.51e-015
982	1.94e-030	4.22e-024	1.35e-020	2.39e-015
991	1.93e-030	5.27e-024	1.73e-020	4.81e-015
1000	1.92e-030	6.27e-024	2.1e-020	8.76e-015
1010	1.91e-030	8.69e-024	3.01e-020	1.28e-014
1020	1.91e-030	1.05e-023	3.87e-020	1.81e-014
1030	1.9e-030	1.28e-023	4.89e-020	2.52e-014
1040	1.89e-030	1.78e-023	7.18e-020	4.32e-014
1050	1.88e-030	1.77e-023	9.1e-020	6.35e-014
1050	1.87e-030	1.76e-023	1.2e-019	9.5e-014
1060	1.86e-030	1.75e-023	2.16e-019	1.66e-013
1070	1.85e-030	1.74e-023	2.62e-019	2.81e-013
1080	1.85e-030	1.74e-023	3.47e-019	4.02e-013
1090	1.84e-030	1.73e-023	5.09e-019	5.71e-013
1100	1.83e-030	1.72e-023	8.89e-019	7.98e-013
1110	1.82e-030	1.71e-023	1.21e-018	1.27e-012
1120	1.81e-030	1.71e-023	1.62e-018	2.06e-012
1130	1.81e-030	1.7e-023	2.02e-018	2.79e-012
1140	1.8e-030	1.69e-023	2.94e-018	5.55e-012
1140	1.79e-030	1.68e-023	4.13e-018	9.44e-012
1150	1.78e-030	1.68e-023	4.11e-018	1.18e-011
1160	1.77e-030	1.67e-023	7.02e-018	1.46e-011
1170	1.77e-030	1.66e-023	7.56e-018	2.2e-011
1180	1.76e-030	3.5e-023	7.53e-018	3.01e-011
1190	2.05e-030	6.95e-023	7.5e-018	4.95e-011
1200	2.04e-030	9.03e-023	7.46e-018	7.04e-011
1210	2.15e-030	1.16e-022	7.43e-018	9.76e-011
1220	2.63e-030	1.6e-022	7.4e-018	1.56e-010
1230	2.93e-030	1.59e-022	7.36e-018	2.12e-010
1230	2.92e-030	2.01e-022	7.33e-018	3e-010
1240	3.24e-030	2.61e-022	7.3e-018	4.72e-010
1250	3.57e-030	2.6e-022	7.26e-018	7.27e-010
1260	3.9e-030	3.31e-022	7.23e-018	1.06e-009
1270	4.27e-030	3.58e-022	7.2e-018	1.57e-009
1280	4.25e-030	3.56e-022	7.17e-018	2.35e-009
1290	4.23e-030	3.54e-022	7.13e-018	3.29e-009
1300	4.21e-030	3.53e-022	7.1e-018	3.69e-009
1310	4.19e-030	3.51e-022	2.69e-017	5.01e-009
1320	4.17e-030	3.5e-022	6.16e-017	7.99e-009
1320	4.15e-030	4.62e-022	6.88e-017	1.27e-008
