"Time [s]"	"0.15 Hz"	"0.3 Hz"	"0.5 Hz"	"1 Hz"	"10 Hz"
0	0	0	0	0	0
9	9.62e-033	1.24e-032	3.4e-033	7.63e-033	7.62e-033
18	1.13e-032	1.71e-032	1.03e-032	1.64e-032	1.51e-032
27	1.75e-032	2.44e-032	1.93e-032	2.39e-032	1.54e-032
36	2.31e-032	3.4e-032	2.72e-032	3.54e-032	1.91e-032
45	2.44e-032	3.39e-032	3.39e-032	4.38e-032	2.79e-032
54	3.4e-032	5.47e-032	4.15e-032	5.64e-032	3.88e-032
63.1	4.07e-032	7.94e-032	5.56e-032	7.32e-032	5.06e-032
72.1	5.09e-032	9.28e-032	6.54e-032	8.74e-032	6.12e-032
81.1	6.64e-032	9.86e-032	8.65e-032	1.05e-031	6.31e-032
90.1	8.99e-032	1.02e-031	9.51e-032	1.3e-031	6.29e-032
99.1	1.07e-031	1.4e-031	1.07e-031	1.51e-031	6.27e-032
108	1.36e-031	1.87e-031	1.06e-031	1.98e-031	7.17e-032
117	1.78e-031	1.95e-031	1.62e-031	2.33e-031	1.15e-031
126	2.11e-031	2.4e-031	2.08e-031	3.11e-031	1.87e-031
135	2.77e-031	3.71e-031	2.61e-031	4.02e-031	2.36e-031
144	3.62e-031	4.1e-031	3.35e-031	4.71e-031	2.94e-031
153	4.37e-031	4.62e-031	3.99e-031	6.42e-031	3.84e-031
162	4.35e-031	7.06e-031	5.23e-031	8.03e-031	4.97e-031
171	6.27e-031	8.46e-031	6.7e-031	1.17e-030	6.98e-031
180	9.13e-031	8.57e-031	8.84e-031	1.79e-030	7.83e-031
189	1.57e-030	1.39e-030	9.3e-031	2.42e-030	8.73e-031
198	2.31e-030	2.48e-030	1.3e-030	3.23e-030	1.17e-030
207	3.43e-030	2.59e-030	1.73e-030	4.39e-030	2.16e-030
216	4.7e-030	4.29e-030	2.38e-030	7.65e-030	3.56e-030
225	5.98e-030	6.4e-030	3.37e-030	1.16e-029	5.65e-030
234	8.09e-030	7.5e-030	4.55e-030	1.67e-029	8.89e-030
243	1.25e-029	9.01e-030	5.93e-030	2.29e-029	1.18e-029
252	1.64e-029	1.68e-029	7.63e-030	3.97e-029	1.17e-029
261	2.42e-029	2.17e-029	1.1e-029	6.77e-029	1.17e-029
270	3.83e-029	2.61e-029	1.51e-029	7.47e-029	1.16e-029
279	5.11e-029	3.4e-029	2.02e-029	7.44e-029	1.64e-029
288	7.94e-029	5.27e-029	2.82e-029	7.4e-029	2.1e-029
297	9.17e-029	7.03e-029	4.04e-029	7.37e-029	2.09e-029
306	9.12e-029	9.59e-029	5.06e-029	1.49e-028	2.57e-029
315	9.08e-029	1.69e-028	6.66e-029	3.07e-028	8.89e-029
324	1.76e-028	2.36e-028	9.67e-029	5.57e-028	1.75e-028
333	2.82e-028	4.38e-028	1.42e-028	8.33e-028	3.29e-028
342	5.32e-028	4.84e-028	1.86e-028	1.52e-027	5.5e-028
351	7.98e-028	5.59e-028	3.15e-028	1.6e-027	8.81e-028
360	1.1e-027	1.1e-027	4.33e-028	2.01e-027	9.63e-028
369	2.17e-027	1.53e-027	6.12e-028	2.82e-027	1.24e-027
378	2.85e-027	2.05e-027	8.55e-028	3.77e-027	1.91e-027
387	4.73e-027	3.72e-027	1.23e-027	6.44e-027	2.48e-027
396	6.81e-027	5.13e-027	1.44e-027	9.63e-027	4.39e-027
405	8.78e-027	6.06e-027	1.61e-027	1.23e-026	6.3e-027
414	1.23e-026	6.04e-027	2.86e-027	1.7e-026	6.27e-027
423	1.92e-026	9.85e-027	4.32e-027	2.65e-026	6.24e-027
432	3.04e-026	1.17e-026	6.3e-027	3.81e-026	6.21e-027
441	5.33e-026	1.81e-026	8.57e-027	5.43e-026	6.18e-027
450	9.22e-026	2.27e-026	1.17e-026	7.5e-026	6.16e-027
459	1.32e-025	3.34e-026	1.99e-026	1.2e-025	1.06e-026
468	1.65e-025	7.59e-026	2.79e-026	1.61e-025	2.75e-026
477	2.31e-025	1.01e-025	4.18e-026	2.16e-025	4.78e-026
486	2.3e-025	1.54e-025	4.84e-026	3.95e-025	7.82e-026
495	3.55e-025	2.43e-025	5.35e-026	6.2e-025	1.11e-025
504	5.78e-025	3.03e-025	6.89e-026	8.74e-025	1.36e-025
514	8.91e-025	3.02e-025	1.1e-025	1.19e-024	2.04e-025
523	1.65e-024	4.33e-025	2.16e-025	1.73e-024	2.65e-025
532	2.46e-024	6.1e-025	3.81e-025	2.48e-024	2.64e-025
541	3.54e-024	8.53e-025	4.78e-025	3.11e-024	2.63e-025
550	5.9e-024	1.01e-024	7.45e-025	4.14e-024	2.62e-025
559	9.54e-024	1.42e-024	9.71e-025	4.12e-024	4.68e-025
568	1.77e-023	1.69e-024	1.37e-024	4.1e-024	7.56e-025
577	2.56e-023	2.1e-024	2.09e-024	4.08e-024	1.16e-024
586	3.29e-023	2.09e-024	2.78e-024	4.07e-024	2.07e-024
595	3.75e-023	3.88e-024	3.79e-024	4.05e-024	3.3e-024
604	6.5e-023	5.74e-024	5.62e-024	4.03e-024	4.1e-024
613	1.08e-022	6.53e-024	8.46e-024	4.01e-024	5.55e-024
622	1.07e-022	1.08e-023	1.23e-023	2.02e-023	8.75e-024
631	1.07e-022	1.32e-023	1.81e-023	3.84e-023	9.79e-024
640	1.77e-022	1.66e-023	2.62e-023	3.82e-023	1.5e-023
649	4.38e-022	2.54e-023	3.58e-023	3.81e-023	2.29e-023
658	8.27e-022	3.52e-023	5.62e-023	5.93e-023	2.44e-023
667	1.16e-021	6.23e-023	8.24e-023	9.7e-023	2.43e-023
676	1.44e-021	8.9e-023	1.18e-022	1.53e-022	2.41e-023
685	1.44e-021	1.17e-022	1.73e-022	1.52e-022	2.4e-023
694	2.19e-021	1.63e-022	2.48e-022	1.79e-022	2.39e-023
703	3.86e-021	1.95e-022	4.69e-022	3.45e-022	2.66e-023
712	6.86e-021	1.94e-022	8.13e-022	5.57e-022	5.27e-023
721	9.33e-021	2.33e-022	1.1e-021	8.43e-022	9.88e-023
730	1.14e-020	2.87e-022	1.67e-021	1.25e-021	2.4e-022
