"Time [s]"	[A]	[A*]	[B]	[B*]	[A]1	[A*]1	[B]1	[B*]1
0	0	0	12.5	0				
6	0.0209	0.000649	12.5	7.3e-033				
12	0.0406	0.00215	12.5	1.48e-032				
18	0.0594	0.00446	12.5	2.27e-032				
24	0.0757	0.00751	12.5	3.05e-032				
30	0.1	0.0117	12.5	4.32e-032				
36	0.113	0.0167	12.5	5.2e-032				
42	0.135	0.0225	12.5	6.82e-032				
48	0.145	0.0291	12.5	7.97e-032				
54	0.155	0.0362	12.5	9.31e-032				
60.1	0.164	0.0438	12.5	1.09e-031				
66.1	0.183	0.0519	12.5	1.42e-031				
72.1	0.197	0.0608	12.5	1.75e-031				
78.1	0.207	0.07	12.5	2.12e-031				
84.1	0.215	0.0796	12.5	2.57e-031				
90.1	0.221	0.0894	12.5	3.09e-031				
96.1	0.227	0.0995	12.5	3.76e-031				
102	0.232	0.11	12.5	4.6e-031				
108	0.237	0.121	12.5	5.67e-031				
114	0.242	0.131	12.5	7.04e-031				
120	0.246	0.142	12.5	8.81e-031				
126	0.253	0.154	12.5	1.15e-030				
132	0.266	0.165	12.5	1.65e-030				
138	0.278	0.177	12.5	2.3e-030				
144	0.283	0.189	12.5	3.01e-030				
150	0.286	0.202	12.5	3.86e-030				
156	0.299	0.215	12.5	5.68e-030				
162	0.301	0.228	12.5	7.23e-030				
168	0.303	0.241	12.5	9.34e-030				
174	0.304	0.254	12.5	1.22e-029				
180	0.306	0.267	12.5	1.61e-029				
186	0.309	0.28	12.5	2.22e-029				
192	0.314	0.294	12.5	3.15e-029				
198	0.321	0.307	12.5	4.68e-029				
204	0.333	0.321	12.5	7.25e-029				
210	0.345	0.335	12.5	1.09e-028				
216	0.356	0.35	12.5	1.62e-028				
222	0.367	0.365	12.5	2.38e-028				
228	0.376	0.381	12.5	3.51e-028				
234	0.386	0.397	12.5	5.19e-028				
240	0.395	0.413	12.5	7.7e-028				
246	0.404	0.43	12.5	1.15e-027				
252	0.412	0.447	12.5	1.73e-027				
258	0.42	0.464	12.5	2.62e-027				
264	0.427	0.482	12.5	3.99e-027				
270	0.434	0.499	12.5	6.12e-027				
276	0.441	0.517	12.5	9.45e-027				
282	0.447	0.535	12.5	1.47e-026				
288	0.454	0.554	12.5	2.3e-026				
294	0.46	0.572	12.5	3.61e-026				
300	0.465	0.591	12.5	5.71e-026				
306	0.471	0.61	12.5	9.06e-026				
312	0.476	0.629	12.5	1.45e-025				
318	0.481	0.648	12.5	2.31e-025				
324	0.486	0.667	12.5	3.72e-025				
330	0.491	0.687	12.5	6e-025				
336	0.484	0.706	12.5	8.38e-025				
342	0.478	0.725	12.5	1.21e-024				
348	0.484	0.744	12.5	2.15e-024				
354	0.478	0.762	12.5	3.04e-024				
360	0.472	0.78	12.5	4.39e-024				
366	0.478	0.799	12.5	8.16e-024				
372	0.477	0.817	12.5	1.25e-023				
378	0.479	0.835	12.5	2.06e-023				
384	0.485	0.853	12.5	3.5e-023				
390	0.48	0.871	12.5	5.04e-023				
396	0.486	0.889	12.5	8.61e-023				
402	0.481	0.906	12.5	1.21e-022				
408	0.476	0.924	12.5	1.74e-022				
414	0.472	0.941	12.5	2.54e-022				
420	0.467	0.958	12.5	3.71e-022				
426	0.464	0.975	12.5	5.6e-022				
432	0.464	0.991	12.5	8.88e-022				
438	0.464	1.01	12.5	1.4e-021				
444	0.464	1.02	12.5	2.21e-021				
450	0.461	1.04	12.5	3.29e-021				
456	0.47	1.06	12.5	5.67e-021				
462	0.478	1.07	12.5	9.24e-021				
468	0.485	1.09	12.5	1.46e-020				
474	0.481	1.11	12.5	1.95e-020				
480	0.477	1.12	12.5	2.66e-020				
486	0.475	1.14	12.5	3.77e-020				
