"[A*] dc 0.4 nu0.15"	"[B*] dc 0.4 nu0.15"	"[A*] dc 0.4 nu0.15 t4350"	"[B*] dc 0.4 nu0.15 t4350"	"[A*] dc 0.5 nu0.15"	"[B*] dc 0.5 nu0.15"	"[A*] dc 0.75 nu0.15"	"[B*] dc 0.75 nu0.15"
0	0	0	0	0	0	0	0
0.000892	8.49e-033	0.000892	8.49e-033	0.00105	9.62e-033	0.00136	1.24e-032
0.00299	1.38e-032	0.00299	1.38e-032	0.00322	1.13e-032	0.00496	2.57e-032
0.00604	1.94e-032	0.00604	1.94e-032	0.00589	1.75e-032	0.0105	3.71e-032
0.0101	2.95e-032	0.0101	2.95e-032	0.00891	2.31e-032	0.0181	5.84e-032
0.015	3.56e-032	0.015	3.56e-032	0.0126	2.44e-032	0.028	8.48e-032
0.0206	4.23e-032	0.0206	4.23e-032	0.0168	3.4e-032	0.0395	1.07e-031
0.026	4.21e-032	0.026	4.21e-032	0.0219	4.07e-032	0.0522	1.45e-031
0.0308	4.2e-032	0.0308	4.2e-032	0.0272	5.09e-032	0.0664	2.11e-031
0.0352	4.19e-032	0.0352	4.19e-032	0.0334	6.64e-032	0.0823	2.87e-031
0.0392	4.18e-032	0.0392	4.18e-032	0.0407	8.99e-032	0.099	4.04e-031
0.0428	4.16e-032	0.0428	4.16e-032	0.0488	1.07e-031	0.117	6.27e-031
0.0468	6.24e-032	0.0468	6.24e-032	0.0576	1.36e-031	0.136	9.84e-031
0.0517	8.45e-032	0.0517	8.45e-032	0.0672	1.78e-031	0.157	1.57e-030
0.0568	8.42e-032	0.0568	8.42e-032	0.0774	2.11e-031	0.178	2.57e-030
0.0615	9.77e-032	0.0615	9.77e-032	0.0881	2.77e-031	0.201	4.31e-030
0.0669	1.27e-031	0.0669	1.27e-031	0.0994	3.62e-031	0.225	7.43e-030
0.073	1.52e-031	0.073	1.52e-031	0.111	4.37e-031	0.249	1.31e-029
0.0796	2.05e-031	0.0796	2.05e-031	0.122	4.35e-031	0.274	2.37e-029
0.087	2.47e-031	0.087	2.47e-031	0.133	6.27e-031	0.3	4.02e-029
0.0948	2.91e-031	0.0948	2.91e-031	0.145	9.13e-031	0.326	7.83e-029
0.103	3.9e-031	0.103	3.9e-031	0.158	1.57e-030	0.352	1.52e-028
0.112	4.58e-031	0.112	4.58e-031	0.172	2.31e-030	0.379	2.95e-028
0.12	4.74e-031	0.12	4.74e-031	0.188	3.43e-030	0.407	5.81e-028
