"Time [s]"	[A*]	[B*]	PADP
0	0	0	2.06e-009
9	0.00105	9.62e-033	2.06e-009
18	0.00322	1.13e-032	2.06e-009
27	0.00589	1.75e-032	2.06e-009
36	0.00891	2.31e-032	2.06e-009
45	0.0126	2.44e-032	2.06e-009
54	0.0168	3.4e-032	2.06e-009
63.1	0.0219	4.07e-032	2.06e-009
72.1	0.0272	5.09e-032	2.06e-009
81.1	0.0334	6.64e-032	2.06e-009
90.1	0.0407	8.99e-032	2.06e-009
99.1	0.0488	1.07e-031	2.06e-009
108	0.0576	1.36e-031	2.06e-009
117	0.0672	1.78e-031	2.06e-009
126	0.0774	2.11e-031	2.06e-009
135	0.0881	2.77e-031	2.06e-009
144	0.0994	3.62e-031	2.06e-009
153	0.111	4.37e-031	2.06e-009
162	0.122	4.35e-031	2.06e-009
171	0.133	6.27e-031	2.06e-009
180	0.145	9.13e-031	2.06e-009
189	0.158	1.57e-030	2.06e-009
198	0.172	2.31e-030	2.06e-009
207	0.188	3.43e-030	2.06e-009
216	0.204	4.7e-030	2.06e-009
225	0.221	5.98e-030	2.06e-009
234	0.237	8.09e-030	2.06e-009
243	0.253	1.25e-029	2.06e-009
252	0.269	1.64e-029	2.06e-009
261	0.285	2.42e-029	2.06e-009
270	0.302	3.83e-029	2.06e-009
279	0.318	5.11e-029	2.06e-009
288	0.334	7.94e-029	2.06e-009
297	0.35	9.17e-029	2.06e-009
306	0.364	9.12e-029	2.06e-009
315	0.377	9.08e-029	2.06e-009
324	0.389	1.76e-028	2.06e-009
333	0.401	2.82e-028	2.06e-009
342	0.414	5.32e-028	2.06e-009
351	0.427	7.98e-028	2.06e-009
360	0.44	1.1e-027	2.06e-009
369	0.454	2.17e-027	2.06e-009
378	0.469	2.85e-027	2.06e-009
387	0.484	4.73e-027	2.06e-009
396	0.5	6.81e-027	2.06e-009
405	0.516	8.78e-027	2.06e-009
414	0.532	1.23e-026	2.06e-009
423	0.547	1.92e-026	2.06e-009
432	0.564	3.04e-026	2.06e-009
441	0.581	5.33e-026	2.06e-009
450	0.6	9.22e-026	2.06e-009
459	0.62	1.32e-025	2.06e-009
468	0.639	1.65e-025	2.06e-009
477	0.657	2.31e-025	2.06e-009
486	0.674	2.3e-025	2.06e-009
495	0.69	3.55e-025	2.06e-009
504	0.705	5.78e-025	2.06e-009
514	0.72	8.91e-025	2.06e-009
523	0.735	1.65e-024	2.06e-009
532	0.751	2.46e-024	2.06e-009
541	0.766	3.54e-024	2.06e-009
550	0.781	5.9e-024	2.06e-009
559	0.796	9.54e-024	2.06e-009
568	0.813	1.77e-023	2.06e-009
577	0.83	2.56e-023	2.06e-009
586	0.847	3.29e-023	2.06e-009
595	0.863	3.75e-023	2.06e-009
